"id","surface","source","file","line","occurrences","locale","key","current_text","suggested_text","notes"
"i18n.zh.import.source.manual","frontstage","i18n","src/lib/i18n.ts","260","1","zh","import.source.manual","手动输入","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.request.status.open","frontstage","i18n","src/lib/i18n.ts","261","1","zh","request.status.open","处理中","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.request.status.done","frontstage","i18n","src/lib/i18n.ts","262","1","zh","request.status.done","完成","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.request.status.canceled","frontstage","i18n","src/lib/i18n.ts","263","1","zh","request.status.canceled","取消","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.contract.type.sell","frontstage","i18n","src/lib/i18n.ts","264","1","zh","contract.type.sell","买卖","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.contract.type.rent","frontstage","i18n","src/lib/i18n.ts","265","1","zh","contract.type.rent","租赁","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.contract.type.pm","frontstage","i18n","src/lib/i18n.ts","266","1","zh","contract.type.pm","管理","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.contract.type.agent","frontstage","i18n","src/lib/i18n.ts","267","1","zh","contract.type.agent","代理","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.contract.status.draft","frontstage","i18n","src/lib/i18n.ts","268","1","zh","contract.status.draft","草稿","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.contract.status.active","frontstage","i18n","src/lib/i18n.ts","269","1","zh","contract.status.active","有效","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.common.notSet","frontstage","i18n","src/lib/i18n.ts","270","1","zh","common.notSet","未设置","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.common.countSuffix","frontstage","i18n","src/lib/i18n.ts","271","1","zh","common.countSuffix","条","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.common.latest","frontstage","i18n","src/lib/i18n.ts","272","1","zh","common.latest","最近","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.common.totalCount","frontstage","i18n","src/lib/i18n.ts","273","1","zh","common.totalCount","共 {{count}} {{suffix}}","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.import.target.properties","frontstage","i18n","src/lib/i18n.ts","274","1","zh","import.target.properties","物件","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.import.target.parties","frontstage","i18n","src/lib/i18n.ts","275","1","zh","import.target.parties","相关主体","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.import.target.contracts","frontstage","i18n","src/lib/i18n.ts","276","1","zh","import.target.contracts","合同","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.import.target.service_requests","frontstage","i18n","src/lib/i18n.ts","277","1","zh","import.target.service_requests","跟进记录","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.title","frontstage","i18n","src/lib/i18n.ts","279","1","zh","properties.title","物件数据台账","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.desc","frontstage","i18n","src/lib/i18n.ts","280","1","zh","properties.desc","确认从 Excel 读取的物件信息，并复用于后续文书输出。","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.table.title","frontstage","i18n","src/lib/i18n.ts","281","1","zh","properties.table.title","物件列表","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.table.name","frontstage","i18n","src/lib/i18n.ts","282","1","zh","properties.table.name","物件名","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.table.area","frontstage","i18n","src/lib/i18n.ts","283","1","zh","properties.table.area","区域","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.table.price","frontstage","i18n","src/lib/i18n.ts","284","1","zh","properties.table.price","价格","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.table.managementFee","frontstage","i18n","src/lib/i18n.ts","285","1","zh","properties.table.managementFee","管理费","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.table.repairFee","frontstage","i18n","src/lib/i18n.ts","286","1","zh","properties.table.repairFee","修缮基金","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.table.attachments","frontstage","i18n","src/lib/i18n.ts","287","1","zh","properties.table.attachments","附件","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.table.status","frontstage","i18n","src/lib/i18n.ts","288","1","zh","properties.table.status","状态","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.state.active","frontstage","i18n","src/lib/i18n.ts","289","1","zh","properties.state.active","运营中","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.state.archived","frontstage","i18n","src/lib/i18n.ts","290","1","zh","properties.state.archived","归档","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.next.title","frontstage","i18n","src/lib/i18n.ts","291","1","zh","properties.next.title","下一步建议","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.next.subtitle","frontstage","i18n","src/lib/i18n.ts","292","1","zh","properties.next.subtitle","资料中枢的整备流程","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.next.1","frontstage","i18n","src/lib/i18n.ts","293","1","zh","properties.next.1","为每个物件关联相关主体（卖方、买方、租客候选）","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.next.2","frontstage","i18n","src/lib/i18n.ts","294","1","zh","properties.next.2","在合同页面指定目标物件并创建合同记录","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.next.3","frontstage","i18n","src/lib/i18n.ts","295","1","zh","properties.next.3","在跟进记录中按物件追踪修缮履历","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.next.toParties","frontstage","i18n","src/lib/i18n.ts","296","1","zh","properties.next.toParties","管理相关主体","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.next.toContracts","frontstage","i18n","src/lib/i18n.ts","297","1","zh","properties.next.toContracts","管理合同","","Can be edited in CSV and migrated back to i18n source."
"i18n.zh.properties.next.toRequests","frontstage","i18n","src/lib/i18n.ts","298","1","zh","properties.next.toRequests","查看跟进记录","","Can be edited in CSV and migrated back to i18n source."
